100, 86.31553149999999, 346.2315315000001, 269.9288332500016
200, 85.84896900000001, 354.93242699999985, 266.9141352499995
500, 86.73775000000003, 351.6946769999998, 264.8002707500003
1000, 85.64714624999992, 343.1349687499998, 263.49554149999847
2000, 86.42632250000004, 345.5914687499995, 264.0305937500012
5000, 85.54707300000014, 348.30515599999944, 264.1419794999997
10000, 85.63040624999985, 344.9967602499999, 261.39523975000145
40000, 84.08160450000001, 360.95598974999984, 258.9701459999993
100000, 84.41489549999982, 359.9887604999994, 257.9878022499989
400000, 83.77955249999991, 364.3009167500004, 259.66346874999766
1000000, 86.01489600000001, 366.54057300000085, 264.6181352500019
